articleNumber,name,brand,category,subcategory,packSizeValue,packSizeUnit,salesUnit,unitsPerSalesUnit,priceCHF,priceBasis,sourceUrl,verifiedAt,verificationStatus,notes
001159,"Hackfleisch gemischt (R,S), 5 mm, ca. 5 kg",Quality,meat_poultry,minced_meat,5,kg,pack,,12.99,per_kg,,,seed_unverified,
095101,"Origine Eier Schweiz, Freiland, 53g+, 30 Stück",Origine,dairy_eggs,eggs,30,piece,pack,30,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/095101,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
234980,"Basmati Reis, 5 kg",Reismühle Brunnen,rice_pasta_grains,rice_basmati,5,kg,bag,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/234980,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
234790,"Carnaroli Risottoreis, 5 kg",Reismühle Brunnen,rice_pasta_grains,rice_risotto,5,kg,bag,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/234790,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
234861,"Parboiled Vitamin Rice, 5 kg",Reismühle Brunnen,rice_pasta_grains,rice_long_grain,5,kg,bag,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/234861,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
411170,"Natura Bio Langkornreis Parboiled, 5 kg",Natura,rice_pasta_grains,rice_long_grain,5,kg,bag,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/411170,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
213470,"Economy Fusilli, 5 kg",Economy,rice_pasta_grains,pasta,5,kg,bag,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/213470,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
511000,"Quality Kichererbsen, 2,55 kg",Quality,rice_pasta_grains,legumes_chickpeas,1.5,kg,can,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/511000,2026-08-22,official_product_verified_price_unverified,Usable/drained weight 1.5 kg; gross can weight 2.55 kg. Public page did not expose price.
029717,"Natura Bio Tofu nature, 1,25 kg",Natura,plant_based,tofu,1.25,kg,piece,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/029717,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
002529,"noppa's Bio Tofu geräuchert, 500 g",noppa's,plant_based,tofu,500,g,piece,1,,,https://webshop.transgourmet.ch/api/webshop/pub/articles/factsheet/002529,2026-08-22,official_product_verified_price_unverified,Official Transgourmet factsheet verified; public source did not expose price.
007910,"Salomon Green Heroes Plant Knusper Schnitzel, TK, 3 x 10 x 100 g",SalomonFoodWorld,plant_based,plant_based_protein,3,kg,case,30,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/007910,2026-08-22,official_product_verified_price_unverified,30 x 100 g units per case; public page did not expose price.
042592,"Knoblauch Original ganz geschält, 1 kg",,vegetables_fruit,garlic,1,kg,can,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/042592,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; brand not shown on public page.
040673,"Broccoli, ca. 3,5 kg",Quality,vegetables_fruit,broccoli,3.5,kg,case,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/040673,2026-08-22,official_product_verified_price_unverified,Approximate case weight; public page did not expose price.
092095,"Ditzler Karotten-Wedges rot und gelb TK, 2 x 2,5 kg",Ditzler,vegetables_fruit,carrots,5,kg,case,2,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/092095,2026-08-22,official_product_verified_price_unverified,2 x 2.5 kg frozen bags per case; availability not guaranteed on public page.
040257,"Auberginen, 5 kg",Quality,vegetables_fruit,aubergines,5,kg,case,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/040257,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
040158,"Premium Sweet Potatoes, 6 kg",Premium,vegetables_fruit,sweet_potatoes,6,kg,case,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/040158,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
042363,"Kabis weiss mittel, ca. 5 kg",Quality,vegetables_fruit,cabbage,5,kg,piece,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/042363,2026-08-22,official_product_verified_price_unverified,Approximate single-item weight; public page did not expose price.
040110,"Kartoffeln, festkochend, 10 kg",Quality,vegetables_fruit,potatoes,10,kg,bag,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/040110,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
045358,"Tomaten mit Rispen Import, 5 kg",Quality,vegetables_fruit,tomatoes,5,kg,case,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/045358,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
006290,"Fortisa Burger Bun Sesam, TK, 24 x 83 g",Fortisa,bread_bakery,burger_buns,24,piece,case,24,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/006290,2026-08-22,official_product_verified_price_unverified,24 buns x 83 g per case; public page did not expose price.
098251,"Romer's Ballon gross, vorgebacken, TK, 20 x 80 g",Romer's,bread_bakery,bread_rolls,20,piece,case,20,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/098251,2026-08-22,official_product_verified_price_unverified,20 rolls x 80 g per case; public page did not expose price.
014651,"Premium Burratina, 4 x 50 g",Premium,dairy_eggs,cheese,200,g,pack,4,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/014651,2026-08-22,official_product_verified_price_unverified,4 x 50 g per pack; public page did not expose price.
371061,"Quality Mandeln, braun, gemahlen, 1 kg",Quality,dessert_ingredients,nuts_almonds,1,kg,bag,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/371061,2026-08-22,official_product_verified_price_unverified,Official product and pack size verified; public page did not expose price.
090732,"Quality Beerenmischung, TK, 2 x 2,5 kg",Quality,vegetables_fruit,berries,5,kg,case,2,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/090732,2026-08-22,official_product_verified_price_unverified,2 x 2.5 kg frozen bags per case; public page did not expose price.
561000,"Kühne Burger Gurken wellig, 3,285 kg",Kühne,sauces_condiments,pickles,1.58,kg,can,1,,,https://web.transgourmet.ch/de/prodega-easy/catalog/article/561000,2026-08-22,official_product_verified_price_unverified,Usable/drained weight 1.58 kg; gross can weight 3.285 kg. Public page did not expose price.
